BONE	GO:0000166	GO:0000182									
CARTILAGE	GO:0005515	GO:0005581	GO:0005634	GO:0005737	GO:0006351	GO:0006355	GO:0008168	GO:0009452	GO:0071164		
ENDOTHELIA	GO:0003779	GO:0000151	GO:0000165	GO:0000166							
FIN	GO:0000003										
HAIR	GO:0000046	GO:0000046	GO:0000151	GO:0000151							
HEART	GO:0000166										
KIDNEY	GO:0000122										
LIVER	GO:0000062	GO:0000075	GO:0000082	GO:0000086	GO:0000122	GO:0000139	GO:0000145	GO:0000151	GO:0000166	GO:0000182	GO:0000183
MISC	GO:0000011	GO:0000082	GO:0000086	GO:0000122	GO:0000151	GO:0000165	GO:0000166				
MUSCLE	GO:0000122	GO:0000139	GO:0000151	GO:0000165	GO:0000166						
NERVOUS	GO:0000046	GO:0000082	GO:0000086	GO:0000122	GO:0000123	GO:0000139	GO:0000151	GO:0000165	GO:0000166		
PANCREAS	GO:0000151	GO:0000166									
SALIVARY	GO:0000166	GO:0000166									
SPINAL	GO:0000118	GO:0000118	GO:0000122	GO:0000122							
THYMUS	GO:0000122										
